"","origin","destination","age","sex","year","proportion_value_em","proportion_value_im","value_est"
"80","AT","FI","Y25-29","M",2011,NA,NA,0.103905012136507
"81","AT","FI","Y25-29","M",2012,NA,NA,0.0855515364310008
"82","AT","FI","Y25-29","M",2013,NA,NA,0.106028927832169
"83","AT","FI","Y25-29","M",2014,NA,NA,0.100311013587333
"84","AT","FI","Y25-29","M",2015,NA,NA,0.118673375990125
"85","AT","FI","Y30-34","F",2009,NA,NA,0.0666625595510218
"86","AT","FI","Y30-34","F",2010,NA,NA,0.060871341348001
"87","AT","FI","Y30-34","F",2011,NA,NA,0.0652962042007595
"88","AT","FI","Y30-34","F",2012,NA,NA,0.0621531487939904
"89","AT","FI","Y30-34","F",2013,NA,NA,0.0797970777906957
"90","AT","FI","Y30-34","F",2014,NA,NA,0.0715772820508445
"91","AT","FI","Y30-34","F",2015,NA,NA,0.0583356825467861
"92","AT","FI","Y30-34","M",2009,NA,NA,0.074035861048631
"93","AT","FI","Y30-34","M",2010,NA,NA,0.0731272112161552
"94","AT","FI","Y30-34","M",2011,NA,NA,0.0667555776801339
"95","AT","FI","Y30-34","M",2012,NA,NA,0.0916939021023124
"96","AT","FI","Y30-34","M",2013,NA,NA,0.0631314229744842
"97","AT","FI","Y30-34","M",2014,NA,NA,0.068762103967548
"98","AT","FI","Y30-34","M",2015,NA,NA,0.0757653605393169
"99","AT","FI","Y35-39","F",2009,NA,NA,0.0400697606132007
"100","AT","FI","Y35-39","F",2010,NA,NA,0.0447440022983796
"101","AT","FI","Y35-39","F",2011,NA,NA,0.0429668098375813
"102","AT","FI","Y35-39","F",2012,NA,NA,0.0477852112621444
"103","AT","FI","Y35-39","F",2013,NA,NA,0.039085307396323
"104","AT","FI","Y35-39","F",2014,NA,NA,0.0471557789873525
"105","AT","FI","Y35-39","F",2015,NA,NA,0.043295397309673
"106","AT","FI","Y35-39","M",2009,NA,NA,0.0482386253657358
"107","AT","FI","Y35-39","M",2010,NA,NA,0.0557470582195674
"108","AT","FI","Y35-39","M",2011,NA,NA,0.056521116239509
"109","AT","FI","Y35-39","M",2012,NA,NA,0.0459210843716037
"110","AT","FI","Y35-39","M",2013,NA,NA,0.0464615015135829
"111","AT","FI","Y35-39","M",2014,NA,NA,0.052360073455857
"112","AT","FI","Y35-39","M",2015,NA,NA,0.0489177538075375
"113","AT","FI","Y40-44","F",2009,NA,NA,0.0235341892721244
"114","AT","FI","Y40-44","F",2010,NA,NA,0.0223649648382446
"115","AT","FI","Y40-44","F",2011,NA,NA,0.0267820173250608
"116","AT","FI","Y40-44","F",2012,NA,NA,0.0218774607729452
"117","AT","FI","Y40-44","F",2013,NA,NA,0.0224864829184256
"118","AT","FI","Y40-44","F",2014,NA,NA,0.0219774458191407
"119","AT","FI","Y40-44","F",2015,NA,NA,0.0214224419698737
"120","AT","FI","Y40-44","M",2009,NA,NA,0.0247893606012104
"121","AT","FI","Y40-44","M",2010,NA,NA,0.0245474326434336
"122","AT","FI","Y40-44","M",2011,NA,NA,0.0247774254680883
"123","AT","FI","Y40-44","M",2012,NA,NA,0.0283259126287244
"124","AT","FI","Y40-44","M",2013,NA,NA,0.0255470736321828
"125","AT","FI","Y40-44","M",2014,NA,NA,0.0263438599466546
"126","AT","FI","Y40-44","M",2015,NA,NA,0.0273773115540496
"127","AT","FI","Y45-49","F",2009,NA,NA,0.0206242170204114
"128","AT","FI","Y45-49","F",2010,NA,NA,0.0205350750563299
"129","AT","FI","Y45-49","F",2011,NA,NA,0.0195172747630152
"130","AT","FI","Y45-49","F",2012,NA,NA,0.018259706476075
"131","AT","FI","Y45-49","F",2013,NA,NA,0.0203838497541331
"132","AT","FI","Y45-49","F",2014,NA,NA,0.0203327164334964
"133","AT","FI","Y45-49","F",2015,NA,NA,0.0206082997262225
"134","AT","FI","Y45-49","M",2009,NA,NA,0.0213508869878211
"135","AT","FI","Y45-49","M",2010,NA,NA,0.021233510624272
"136","AT","FI","Y45-49","M",2011,NA,NA,0.0228444287744478
"137","AT","FI","Y45-49","M",2012,NA,NA,0.0235766123895275
"138","AT","FI","Y45-49","M",2013,NA,NA,0.022442455732636
"139","AT","FI","Y45-49","M",2014,NA,NA,0.0217794334308685
"140","AT","FI","Y45-49","M",2015,NA,NA,0.0242816007898146
"141","AT","FI","Y50-54","F",2009,NA,NA,0.0142777249407381
"142","AT","FI","Y50-54","F",2010,NA,NA,0.0138235319697308
"143","AT","FI","Y50-54","F",2011,NA,NA,0.0146245867866881
"144","AT","FI","Y50-54","F",2012,NA,NA,0.0134489355936115
"145","AT","FI","Y50-54","F",2013,NA,NA,0.014873886578522
"146","AT","FI","Y50-54","F",2014,NA,NA,0.0147808261781385
"147","AT","FI","Y50-54","F",2015,NA,NA,0.0148350201932357
"148","AT","FI","Y50-54","M",2009,NA,NA,0.0152979158631638
"149","AT","FI","Y50-54","M",2010,NA,NA,0.015595245086862
"150","AT","FI","Y50-54","M",2011,NA,NA,0.0152007833491674
"151","AT","FI","Y50-54","M",2012,NA,NA,0.0159113963017076
"152","AT","FI","Y50-54","M",2013,NA,NA,0.0165133716959139
"153","AT","FI","Y50-54","M",2014,NA,NA,0.0164382895234459
"154","AT","FI","Y50-54","M",2015,NA,NA,0.0162711968742656
"155","AT","FI","Y55-59","F",2009,NA,NA,0.0101904849353822
"156","AT","FI","Y55-59","F",2010,NA,NA,0.0105306966742506
"157","AT","FI","Y55-59","F",2011,NA,NA,0.0101096745777817
"158","AT","FI","Y55-59","F",2012,NA,NA,0.010419035730257
"159","AT","FI","Y55-59","F",2013,NA,NA,0.0101772745429941
"160","AT","FI","Y55-59","F",2014,NA,NA,0.0101215137404833
"161","AT","FI","Y55-59","F",2015,NA,NA,0.010624572647733
"162","AT","FI","Y55-59","M",2009,NA,NA,0.0110858140156943
"163","AT","FI","Y55-59","M",2010,NA,NA,0.0121518253730588
"164","AT","FI","Y55-59","M",2011,NA,NA,0.0125088725870819
"165","AT","FI","Y55-59","M",2012,NA,NA,0.0114895783140804
"166","AT","FI","Y55-59","M",2013,NA,NA,0.0110950094900092
"167","AT","FI","Y55-59","M",2014,NA,NA,0.0115931478639131
"168","AT","FI","Y55-59","M",2015,NA,NA,0.0117532579610189
"169","AT","FI","Y60-64","F",2009,NA,NA,0.0155201984900398
"170","AT","FI","Y60-64","F",2010,NA,NA,0.0152604853137203
"171","AT","FI","Y60-64","F",2011,NA,NA,0.0146576163962722
"172","AT","FI","Y60-64","F",2012,NA,NA,0.0158525933755861
"173","AT","FI","Y60-64","F",2013,NA,NA,0.0163260521438325
"174","AT","FI","Y60-64","F",2014,NA,NA,0.0153315070705871
"175","AT","FI","Y60-64","F",2015,NA,NA,0.0155787449778986
"176","AT","FI","Y60-64","M",2009,NA,NA,0.0171793457864091
"177","AT","FI","Y60-64","M",2010,NA,NA,0.0159388335502359
"178","AT","FI","Y60-64","M",2011,NA,NA,0.0166128215617278
"179","AT","FI","Y60-64","M",2012,NA,NA,0.0181244343023309
"180","AT","FI","Y60-64","M",2013,NA,NA,0.0159718227135192
"181","AT","FI","Y60-64","M",2014,NA,NA,0.0160528914200351
"182","AT","FI","Y60-64","M",2015,NA,NA,0.0169258080092904
"183","AT","FI","Y65-69","F",2009,NA,NA,0.0106818473682941
"184","AT","FI","Y65-69","F",2010,NA,NA,0.0107627138906361
"185","AT","FI","Y65-69","F",2011,NA,NA,0.0110972637879925
"186","AT","FI","Y65-69","F",2012,NA,NA,0.0119880794782915
"187","AT","FI","Y65-69","F",2013,NA,NA,0.0108688599200439
"188","AT","FI","Y65-69","F",2014,NA,NA,0.0107030817854063
"189","AT","FI","Y65-69","F",2015,NA,NA,0.0107355023097715
"190","AT","FI","Y65-69","M",2009,NA,NA,0.0118348310514231
"191","AT","FI","Y65-69","M",2010,NA,NA,0.0117895096140747
"192","AT","FI","Y65-69","M",2011,NA,NA,0.0116631784360718
"193","AT","FI","Y65-69","M",2012,NA,NA,0.0121671677314872
"194","AT","FI","Y65-69","M",2013,NA,NA,0.012243678485575
"195","AT","FI","Y65-69","M",2014,NA,NA,0.0116320746893682
"196","AT","FI","Y65-69","M",2015,NA,NA,0.0122924300790255
"197","AT","FI","Y70-74","F",2009,NA,NA,0.00568532990849832
"198","AT","FI","Y70-74","F",2010,NA,NA,0.00558413712793593
"199","AT","FI","Y70-74","F",2011,NA,NA,0.00569333158319162
"200","AT","FI","Y70-74","F",2012,NA,NA,0.00565613934485044
"201","AT","FI","Y70-74","F",2013,NA,NA,0.00572886699618118
"202","AT","FI","Y70-74","F",2014,NA,NA,0.00576616931107294
"203","AT","FI","Y70-74","F",2015,NA,NA,0.00575395894045809
"204","AT","FI","Y70-74","M",2009,NA,NA,0.00612924223814896
"205","AT","FI","Y70-74","M",2010,NA,NA,0.00614177725768788
"206","AT","FI","Y70-74","M",2011,NA,NA,0.00624270808851213
"207","AT","FI","Y70-74","M",2012,NA,NA,0.00631416751328301
"208","AT","FI","Y70-74","M",2013,NA,NA,0.00633713908917394
"209","AT","FI","Y70-74","M",2014,NA,NA,0.0062578993572151
"210","AT","FI","Y70-74","M",2015,NA,NA,0.00660131958662609
"211","AT","FI","Y75-79","F",2009,NA,NA,0.00325396299277413
"212","AT","FI","Y75-79","F",2010,NA,NA,0.00338765999839604
"213","AT","FI","Y75-79","F",2011,NA,NA,0.00360174246700853
"214","AT","FI","Y75-79","F",2012,NA,NA,0.00337465974802458
"215","AT","FI","Y75-79","F",2013,NA,NA,0.00341776465022253
"216","AT","FI","Y75-79","F",2014,NA,NA,0.00334032888438276
"217","AT","FI","Y75-79","F",2015,NA,NA,0.0033985206773429
"218","AT","FI","Y75-79","M",2009,NA,NA,0.00362627625053835
"219","AT","FI","Y75-79","M",2010,NA,NA,0.00367149256715999
"220","AT","FI","Y75-79","M",2011,NA,NA,0.00365327243361443
"221","AT","FI","Y75-79","M",2012,NA,NA,0.00374729259606016
"222","AT","FI","Y75-79","M",2013,NA,NA,0.00370294495521435
"223","AT","FI","Y75-79","M",2014,NA,NA,0.00369264067081233
"224","AT","FI","Y75-79","M",2015,NA,NA,0.00393141430540237
"225","AT","FI","Y80-84","F",2009,NA,NA,0.00140598539247588
"226","AT","FI","Y80-84","F",2010,NA,NA,0.00141913504941157
"227","AT","FI","Y80-84","F",2011,NA,NA,0.00143310252314135
"228","AT","FI","Y80-84","F",2012,NA,NA,0.00148682466665927
"229","AT","FI","Y80-84","F",2013,NA,NA,0.00147394028106199
"230","AT","FI","Y80-84","F",2014,NA,NA,0.00142077631775676
"231","AT","FI","Y80-84","F",2015,NA,NA,0.00143349524864762
"232","AT","FI","Y80-84","M",2009,NA,NA,0.00151269544783373
"233","AT","FI","Y80-84","M",2010,NA,NA,0.00155812100275757
"234","AT","FI","Y80-84","M",2011,NA,NA,0.00156382229251139
"235","AT","FI","Y80-84","M",2012,NA,NA,0.00155859563389312
"236","AT","FI","Y80-84","M",2013,NA,NA,0.00160020335794138
"237","AT","FI","Y80-84","M",2014,NA,NA,0.00155328011184412
"238","AT","FI","Y80-84","M",2015,NA,NA,0.00158482153039221
"239","AT","FI","Y85-Inf","F",2009,NA,NA,0.00109675706918544
"240","AT","FI","Y85-Inf","F",2010,NA,NA,0.00108288720755241
"241","AT","FI","Y85-Inf","F",2011,NA,NA,0.00112000338200107
"242","AT","FI","Y85-Inf","F",2012,NA,NA,0.0011124191856402
"243","AT","FI","Y85-Inf","F",2013,NA,NA,0.00111271856747072
"244","AT","FI","Y85-Inf","F",2014,NA,NA,0.00108198386202316
"245","AT","FI","Y85-Inf","F",2015,NA,NA,0.00112694013396811
"246","AT","FI","Y85-Inf","M",2009,NA,NA,0.00116440766686694
"247","AT","FI","Y85-Inf","M",2010,NA,NA,0.00118827517976808
"248","AT","FI","Y85-Inf","M",2011,NA,NA,0.00121661725685758
"249","AT","FI","Y85-Inf","M",2012,NA,NA,0.00119884163103776
"250","AT","FI","Y85-Inf","M",2013,NA,NA,0.00121022601507287
"251","AT","FI","Y85-Inf","M",2014,NA,NA,0.00122230999342433
"252","AT","FI","Y85-Inf","M",2015,NA,NA,0.00120212085757814
"253","AT","NL","Y00-04","F",2009,NA,NA,0.0244565909070188
"254","AT","NL","Y00-04","F",2010,NA,NA,0.0293290417290356
"255","AT","NL","Y00-04","F",2011,NA,NA,0.0278254069295521
"256","AT","NL","Y00-04","F",2012,NA,NA,0.0261011032049553
"257","AT","NL","Y00-04","F",2013,NA,NA,0.030365270651652
"258","AT","NL","Y00-04","F",2014,NA,NA,0.0289434753551883
"259","AT","NL","Y00-04","F",2015,NA,NA,0.024334815794735
"260","AT","NL","Y00-04","M",2009,NA,NA,0.0300424299175766
"261","AT","NL","Y00-04","M",2010,NA,NA,0.0302999862784027
"262","AT","NL","Y00-04","M",2011,NA,NA,0.0320565408969947
"263","AT","NL","Y00-04","M",2012,NA,NA,0.0280371556483799
"264","AT","NL","Y00-04","M",2013,NA,NA,0.0276413107507276
"265","AT","NL","Y00-04","M",2014,NA,NA,0.0251606475537659
"266","AT","NL","Y00-04","M",2015,NA,NA,0.0256688278029264
"267","AT","NL","Y05-09","F",2009,NA,NA,0.0217540144727542
"268","AT","NL","Y05-09","F",2010,NA,NA,0.0210800656661786
"269","AT","NL","Y05-09","F",2011,NA,NA,0.0213356264985063
"270","AT","NL","Y05-09","F",2012,NA,NA,0.0212636179092549
"271","AT","NL","Y05-09","F",2013,NA,NA,0.0197575078793211
"272","AT","NL","Y05-09","F",2014,NA,NA,0.0187182316991319
"273","AT","NL","Y05-09","F",2015,NA,NA,0.0199052639453755
"274","AT","NL","Y05-09","M",2009,NA,NA,0.0233883289665105
"275","AT","NL","Y05-09","M",2010,NA,NA,0.0239590548130633
"276","AT","NL","Y05-09","M",2011,NA,NA,0.0229214802449203
"277","AT","NL","Y05-09","M",2012,NA,NA,0.0212820591076522
"278","AT","NL","Y05-09","M",2013,NA,NA,0.0237011361574622
"279","AT","NL","Y05-09","M",2014,NA,NA,0.0221918822317308
"280","AT","NL","Y05-09","M",2015,NA,NA,0.0212684096583668
"281","AT","NL","Y10-14","F",2009,NA,NA,0.0138201469127957
"282","AT","NL","Y10-14","F",2010,NA,NA,0.012919907730897
"283","AT","NL","Y10-14","F",2011,NA,NA,0.0138762306652992
"284","AT","NL","Y10-14","F",2012,NA,NA,0.0150469179800389
"285","AT","NL","Y10-14","F",2013,NA,NA,0.0144597529640291
"286","AT","NL","Y10-14","F",2014,NA,NA,0.0161124759247814
"287","AT","NL","Y10-14","F",2015,NA,NA,0.013759500646841
"288","AT","NL","Y10-14","M",2009,NA,NA,0.0144530398894271
"289","AT","NL","Y10-14","M",2010,NA,NA,0.0149039991181284
"290","AT","NL","Y10-14","M",2011,NA,NA,0.014716845046954
"291","AT","NL","Y10-14","M",2012,NA,NA,0.0153145375766573
"292","AT","NL","Y10-14","M",2013,NA,NA,0.0161422336109151
"293","AT","NL","Y10-14","M",2014,NA,NA,0.0159678845735851
"294","AT","NL","Y10-14","M",2015,NA,NA,0.0156361070013356
"295","AT","NL","Y15-19","F",2009,NA,NA,0.0241857134990137
"296","AT","NL","Y15-19","F",2010,NA,NA,0.025456672011491
"297","AT","NL","Y15-19","F",2011,NA,NA,0.0301924869969503
"298","AT","NL","Y15-19","F",2012,NA,NA,0.0268118739378797
"299","AT","NL","Y15-19","F",2013,NA,NA,0.0278988906521795
"300","AT","NL","Y15-19","F",2014,NA,NA,0.0317761952084252
"301","AT","NL","Y15-19","F",2015,NA,NA,0.0335746341576389
"302","AT","NL","Y15-19","M",2009,NA,NA,0.0259230972615111
"303","AT","NL","Y15-19","M",2010,NA,NA,0.0256607796217861
"304","AT","NL","Y15-19","M",2011,NA,NA,0.0254916299346715
"305","AT","NL","Y15-19","M",2012,NA,NA,0.0262867890446722
"306","AT","NL","Y15-19","M",2013,NA,NA,0.0263948002783887
"307","AT","NL","Y15-19","M",2014,NA,NA,0.0262189935525567
"308","AT","NL","Y15-19","M",2015,NA,NA,0.0263649058124014
"309","AT","NL","Y20-24","F",2009,NA,NA,0.108531102236578
"310","AT","NL","Y20-24","F",2010,NA,NA,0.10164634153879
"311","AT","NL","Y20-24","F",2011,NA,NA,0.099977870168433
"312","AT","NL","Y20-24","F",2012,NA,NA,0.106124978894082
"313","AT","NL","Y20-24","F",2013,NA,NA,0.106638712714382
"314","AT","NL","Y20-24","F",2014,NA,NA,0.113622519297869
"315","AT","NL","Y20-24","F",2015,NA,NA,0.109538382651155
"316","AT","NL","Y20-24","M",2009,NA,NA,0.0918599685184789
"317","AT","NL","Y20-24","M",2010,NA,NA,0.0854491418097114
"318","AT","NL","Y20-24","M",2011,NA,NA,0.0942295392255975
"319","AT","NL","Y20-24","M",2012,NA,NA,0.101335125464902
"320","AT","NL","Y20-24","M",2013,NA,NA,0.0909959469086746
"321","AT","NL","Y20-24","M",2014,NA,NA,0.091023860070292
"322","AT","NL","Y20-24","M",2015,NA,NA,0.0974410567348723
"323","AT","NL","Y25-29","F",2009,NA,NA,0.101569022012035
"324","AT","NL","Y25-29","F",2010,NA,NA,0.0962013204166051
"325","AT","NL","Y25-29","F",2011,NA,NA,0.0879592186326451
"326","AT","NL","Y25-29","F",2012,NA,NA,0.0907961317369978
"327","AT","NL","Y25-29","F",2013,NA,NA,0.0972468188044541
"328","AT","NL","Y25-29","F",2014,NA,NA,0.0962643441579312
"329","AT","NL","Y25-29","F",2015,NA,NA,0.109359228288919
"330","AT","NL","Y25-29","M",2009,NA,NA,0.0920672510448709
"331","AT","NL","Y25-29","M",2010,NA,NA,0.0996833583890125
"332","AT","NL","Y25-29","M",2011,NA,NA,0.0968182006795106
"333","AT","NL","Y25-29","M",2012,NA,NA,0.102186748458274
"334","AT","NL","Y25-29","M",2013,NA,NA,0.0930314403917326
"335","AT","NL","Y25-29","M",2014,NA,NA,0.103365085602597
"336","AT","NL","Y25-29","M",2015,NA,NA,0.0919490570926065
"337","AT","NL","Y30-34","F",2009,NA,NA,0.0641941719036047
"338","AT","NL","Y30-34","F",2010,NA,NA,0.0677543840302632
"339","AT","NL","Y30-34","F",2011,NA,NA,0.0728295549889646
"340","AT","NL","Y30-34","F",2012,NA,NA,0.0681756213317208
"341","AT","NL","Y30-34","F",2013,NA,NA,0.0651202819853819
"342","AT","NL","Y30-34","F",2014,NA,NA,0.0645091958309326
"343","AT","NL","Y30-34","F",2015,NA,NA,0.0646003130141251
"344","AT","NL","Y30-34","M",2009,NA,NA,0.0683907379301388
"345","AT","NL","Y30-34","M",2010,NA,NA,0.072969255378427
"346","AT","NL","Y30-34","M",2011,NA,NA,0.0796680875218923
"347","AT","NL","Y30-34","M",2012,NA,NA,0.0688367789237813
"348","AT","NL","Y30-34","M",2013,NA,NA,0.0759522837720531
"349","AT","NL","Y30-34","M",2014,NA,NA,0.0665925625327151
"350","AT","NL","Y30-34","M",2015,NA,NA,0.0703567573525136
"351","AT","NL","Y35-39","F",2009,NA,NA,0.0410887194904314
"352","AT","NL","Y35-39","F",2010,NA,NA,0.0452388337691085
"353","AT","NL","Y35-39","F",2011,NA,NA,0.0426607208397635
"354","AT","NL","Y35-39","F",2012,NA,NA,0.0383700913755463
"355","AT","NL","Y35-39","F",2013,NA,NA,0.0406372314005656
"356","AT","NL","Y35-39","F",2014,NA,NA,0.040828520478097
"357","AT","NL","Y35-39","F",2015,NA,NA,0.0401069265957573
"358","AT","NL","Y35-39","M",2009,NA,NA,0.0504172909661044
"359","AT","NL","Y35-39","M",2010,NA,NA,0.0491448042423779
"360","AT","NL","Y35-39","M",2011,NA,NA,0.0472425104395235
"361","AT","NL","Y35-39","M",2012,NA,NA,0.0420997587375048
"362","AT","NL","Y35-39","M",2013,NA,NA,0.0434822801759517
"363","AT","NL","Y35-39","M",2014,NA,NA,0.042771651856891
"364","AT","NL","Y35-39","M",2015,NA,NA,0.0457630234444275
"365","AT","NL","Y40-44","F",2009,NA,NA,0.0329682908752475
"366","AT","NL","Y40-44","F",2010,NA,NA,0.0307574305464378
"367","AT","NL","Y40-44","F",2011,NA,NA,0.033941470804518
"368","AT","NL","Y40-44","F",2012,NA,NA,0.0286539757887018
"369","AT","NL","Y40-44","F",2013,NA,NA,0.0314931426502621
"370","AT","NL","Y40-44","F",2014,NA,NA,0.0310282316168857
"371","AT","NL","Y40-44","F",2015,NA,NA,0.0278215657567798
"372","AT","NL","Y40-44","M",2009,NA,NA,0.0379335448732359
"373","AT","NL","Y40-44","M",2010,NA,NA,0.0385343465325952
"374","AT","NL","Y40-44","M",2011,NA,NA,0.0346234910290801
"375","AT","NL","Y40-44","M",2012,NA,NA,0.029867325259318
"376","AT","NL","Y40-44","M",2013,NA,NA,0.0371003989231684
"377","AT","NL","Y40-44","M",2014,NA,NA,0.0390398794749984
"378","AT","NL","Y40-44","M",2015,NA,NA,0.0353679933785034
"379","AT","NL","Y45-49","F",2009,NA,NA,0.0200343090434532
"380","AT","NL","Y45-49","F",2010,NA,NA,0.0208467621964979
"381","AT","NL","Y45-49","F",2011,NA,NA,0.0183384924690195
"382","AT","NL","Y45-49","F",2012,NA,NA,0.0224432619593632
